a,v,0.000000,0.100000
a,v,0.393062,0.101000
a,v,0.745845,0.102000
a,v,1.062493,0.103000
a,v,1.346691,0.104000
a,v,1.601719,0.105000
a,v,1.830501,0.106000
a,v,2.035645,0.107000
a,v,2.219484,0.108000
a,v,2.384102,0.109000
a,v,2.531369,0.110000
a,v,2.662959,0.111000
a,v,2.780378,0.112000
a,v,2.884975,0.113000
a,v,2.977968,0.114000
a,v,3.060452,0.115000
a,v,3.133412,0.116000
a,v,3.197741,0.117000
a,v,3.254242,0.118000
a,v,3.303642,0.119000
a,v,3.346598,0.120000
a,v,3.383705,0.121000
a,v,3.415503,0.122000
a,v,3.442481,0.123000
a,v,3.465083,0.124000
a,v,3.483710,0.125000
a,v,3.498730,0.126000
a,v,3.510475,0.127000
a,v,3.519247,0.128000
a,v,3.525323,0.129000
a,v,3.528953,0.130000
a,v,3.530366,0.131000
a,v,3.529770,0.132000
a,v,3.527356,0.133000
a,v,3.523297,0.134000
a,v,3.517751,0.135000
a,v,3.510864,0.136000
a,v,3.502766,0.137000
a,v,3.493580,0.138000
a,v,3.483415,0.139000
a,v,3.472373,0.140000
a,v,3.460544,0.141000
a,v,3.448015,0.142000
a,v,3.434863,0.143000
a,v,3.421157,0.144000
a,v,3.406963,0.145000
a,v,3.392339,0.146000
a,v,3.377340,0.147000
a,v,3.362016,0.148000
a,v,3.346411,0.149000
a,v,3.330568,0.150000
a,v,3.314523,0.151000
a,v,3.298312,0.152000
a,v,3.281967,0.153000
a,v,3.265516,0.154000
a,v,3.248985,0.155000
a,v,3.232400,0.156000
a,v,3.215781,0.157000
a,v,3.199149,0.158000
a,v,3.182523,0.159000
a,v,3.165918,0.160000
a,v,3.149351,0.161000
a,v,3.132834,0.162000
a,v,3.116380,0.163000
a,v,3.100001,0.164000
a,v,3.083707,0.165000
a,v,3.067506,0.166000
a,v,3.051408,0.167000
a,v,3.035419,0.168000
a,v,3.019547,0.169000
a,v,3.003797,0.170000
a,v,2.988174,0.171000
a,v,2.972684,0.172000
a,v,2.957330,0.173000
a,v,2.942117,0.174000
a,v,2.927046,0.175000
a,v,2.912122,0.176000
a,v,2.897346,0.177000
a,v,2.882720,0.178000
a,v,2.868246,0.179000
a,v,2.853926,0.180000
a,v,2.839760,0.181000
a,v,2.825749,0.182000
a,v,2.811894,0.183000
a,v,2.798195,0.184000
a,v,2.784652,0.185000
a,v,2.771265,0.186000
a,v,2.758034,0.187000
a,v,2.744959,0.188000
a,v,2.732039,0.189000
a,v,2.719273,0.190000
a,v,2.706661,0.191000
a,v,2.694203,0.192000
a,v,2.681896,0.193000
a,v,2.669740,0.194000
a,v,2.657735,0.195000
a,v,2.645878,0.196000
a,v,2.634169,0.197000
a,v,2.622606,0.198000
a,v,2.611188,0.199000
a,v,2.599914,0.200000
a,v,2.588782,0.201000
a,v,2.577791,0.202000
a,v,2.566940,0.203000
a,v,2.556226,0.204000
a,v,2.545649,0.205000
a,v,2.535207,0.206000
a,v,2.524898,0.207000
a,v,2.514721,0.208000
a,v,2.504675,0.209000
a,v,2.494757,0.210000
a,v,2.484967,0.211000
a,v,2.475302,0.212000
a,v,2.465761,0.213000
a,v,2.456343,0.214000
a,v,2.447046,0.215000
a,v,2.437869,0.216000
a,v,2.428809,0.217000
a,v,2.419866,0.218000
a,v,2.411038,0.219000
a,v,2.402323,0.220000
a,v,2.393720,0.221000
a,v,2.385227,0.222000
